clave_entidad,estado,clave_municipio,municipio,poblacion_total,analf,sbasc,ovsde,ovsee,ovsae,ovpt,vhac,pl.5000,po2sm,indice_marginacion_2020,grado_marginacion_2020,indice_marginacion_normalizado_2020,lugar_nacional,ancho_banda_bajada,ancho_banda_subida,conteo_registros
01,Aguascalientes,1001,AGUASCALIENTES,948990,1.64473777347411,20.3672204039209,0.104798699606025,0.113169040426143,0.378609666467454,0.591433800425798,10.3395299911499,7.52368307358349,54.2265941157169,60.3187950417198,Muy bajo,0.944508383147691,2435,76686.81836327346,27160.01596806387,501
01,Aguascalientes,1002,ASIENTOS,51536,3.52640545144804,33.9063643941484,2.65037264784292,0.486447570680832,0.858160306680418,1.35242950826052,22.942304611206,78.2210493635517,78.5654712260217,56.546071016613,Muy bajo,0.885432775510777,1816,940.8,256.0,20
01,Aguascalientes,1003,CALVILLO,58250,4.4915090698572,42.4824498383877,0.365177248768388,0.516760257691115,0.800978399421229,1.04041065215145,19.2198581695557,51.3012875536481,79.2597765363129,57.0582509369582,Muy bajo,0.893452800249523,1932,777.1428571428571,256.0,14
01,Aguascalientes,1004,COSÍO,17000,3.14486733915402,27.6967454754161,0.712854954636503,0.577353599622953,0.659832685283375,1.03098857075527,22.7168655395508,65.4705882352941,81.7263689442954,57.1140301001378,Muy bajo,0.894326224315631,1948,784.0,256.0,8
01,Aguascalientes,1005,JESÚS MARÍA,129929,2.38058753995009,26.6924771483022,0.277033961739989,0.354957443689088,0.860425814317794,1.3126519273064,16.4045753479004,37.1641434937543,56.7487533824606,59.0117616967172,Muy bajo,0.924042059996595,2323,35576.88888888889,10056.533333333333,72
01,Aguascalientes,1006,PABELLÓN DE ARTEAGA,47646,2.73233866618731,25.7242803116927,0.541337546076883,0.42548709847288,1.04476040021064,0.705634544497104,19.0759544372559,32.7645552617219,64.3350111566603,58.6247678266779,Muy bajo,0.917982274581019,2265,63252.645161290326,10496.0,31
01,Aguascalientes,1007,RINCÓN DE ROMOS,57369,3.44591684191857,27.0943427296759,0.965870247339913,0.501340999526706,1.02722316686241,1.30266318354752,20.9755020141602,44.2852411581167,76.6439717511735,57.6466713495514,Muy bajo,0.902666644991035,2076,54528.0,7116.8,30
01,Aguascalientes,1008,SAN JOSÉ DE GRACIA,9552,2.43977290164186,28.4199403343864,2.10713911311458,0.922528566935737,1.70877450466506,0.859628891917392,21.5727500915527,41.3002512562814,75.4109359275411,57.5275305589345,Muy bajo,0.900801066021251,2048,832.0,256.0,4
01,Aguascalientes,1009,TEPEZALÁ,22485,4.23521850899743,35.0862775833376,1.38504155124654,0.585291752300956,1.08569386113841,1.42972031096417,22.9857387542725,76.7622859684234,76.9435569755059,56.6043143837497,Muy bajo,0.886344785581358,1833,859.4285714285714,256.0,7
01,Aguascalientes,1010,EL LLANO,20853,3.8984214138641,34.7577131637582,2.32113063107273,1.03052311316125,1.78133280989302,1.45254686426538,21.8167858123779,69.7549513259483,76.3360920185159,56.5557942161932,Muy bajo,0.885585027284178,1819,814.5454545454545,256.0,11
01,Aguascalientes,1011,SAN FRANCISCO DE LOS ROMO,61997,2.35876249039201,28.4661453235964,0.186041996958618,0.318698029572589,0.456207331672437,0.736126840317101,18.5074081420898,41.1197315999161,65.8711658711659,58.5520978333435,Muy bajo,0.916844363622086,2252,67106.13333333333,8584.533333333333,15
02,Baja California,2001,ENSENADA,443807,2.287974263241,25.2439323975942,0.34637154684464,1.410373793579,4.57452468097057,1.71762610462859,13.808819770813,13.5700878985685,79.4318567126075,58.082237567032,Muy bajo,0.909487005768167,2171,69573.51310861424,58860.25252434457,267
02,Baja California,2002,MEXICALI,1049792,1.6183028150879,21.5014440353884,0.155113202808588,0.396584104308739,0.676314093004012,1.22628653259832,12.5880880355835,11.3945429189782,69.8956250920646,59.3849890945595,Muy bajo,0.929886281616716,2356,23375.32773109244,12503.814453781511,476
02,Baja California,2003,TECATE,108440,1.95022379617333,27.2964645368796,0.33679593495139,0.974162660687886,3.23480746825405,1.63512283003535,14.0149669647217,20.4048321652527,74.0247131509267,58.3900774399861,Muy bajo,0.914307349750025,2229,21325.521126760563,2895.497014084507,71
02,Baja California,2004,TIJUANA,1922523,1.46974961063855,24.5838787119259,0.156099941830682,0.184236546471999,1.15938492221066,2.14702319045973,14.9725646972656,1.70411485324233,74.5924691172377,59.1402868170204,Muy bajo,0.926054584508856,2336,45707.228070175435,19164.806736842103,456
02,Baja California,2005,PLAYAS DE ROSARITO,126890,2.02917194016225,29.7371323637491,0.313293405377254,0.443460784233952,5.01025323872144,2.6863120192112,15.4096050262451,15.7553786744424,72.773426167682,58.291417465293,Muy bajo,0.912762471853933,2208,15382.857142857143,2002.2857142857142,28
02,Baja California,2006,SAN QUINTÍN,117568,8.1220460811343,47.2424609985999,0.523168265714409,5.49398544115369,16.8076410101966,4.43687181605397,31.0744571685791,54.3983056614045,65.7824311917645,53.3990400136774,Medio,0.836154649808125,982,0.0,0.0,0
03,Baja California Sur,3001,COMONDÚ,73021,4.08367076425835,32.3302060779569,0.520638094048065,1.2911824732392,1.55219570438863,2.94056395518347,16.1356029510498,19.639555744238,62.5545107658763,58.2638228268869,Muy bajo,0.912330378220656,2199,8777.846153846154,1265.2307692307693,52
03,Baja California Sur,3002,MULEGÉ,64022,4.15332735732275,33.5888491969296,1.03709165517905,2.17659598339504,2.92849471845096,3.2768488385142,21.2250633239746,39.3177345287557,55.3259320381067,57.4925673102967,Muy bajo,0.900253590206829,2040,1819.6078431372548,547.1372549019608,51
